Pos,ID,Name,BV,SV,Team,35_xMins,36_xMins,37_xMins,38_xMins,35_Pts,36_Pts,37_Pts,38_Pts
D,710,Patterson,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,711,Harriman-Annous,4.4,4.4,Arsenal,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02
M,712,Yeremy,5.8,5.8,Crystal Palace,43.80,87.60,43.80,43.80,1.95,3.89,1.99,1.79
D,713,A.Jimenez,4.5,4.5,Bournemouth,79.05,79.05,79.05,79.05,3.95,2.93,2.26,3.09
F,714,Woltemade,6.7,6.7,Newcastle,23.70,23.70,23.70,23.70,1.30,1.27,1.44,1.31
G,715,John,4.0,4.0,Nott'm Forest,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
D,716,Savona,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,717,Xavi,6.5,6.5,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,718,S.Magassa,5.0,5.0,West Ham,22.35,22.35,22.35,22.35,0.82,0.76,0.81,0.80
D,719,Lindelöf,4.5,4.5,Aston Villa,12.15,12.15,12.15,12.15,0.44,0.49,0.42,0.36
F,720,Tolu,5.2,5.2,Wolves,26.70,26.70,26.70,26.70,1.37,1.22,1.32,1.39
D,721,Milosavljević,4.4,4.4,Bournemouth,5.55,5.55,5.55,5.55,0.27,0.24,0.20,0.24
M,722,Florentino,5.0,5.0,Burnley,23.25,23.25,23.25,23.25,0.84,0.91,0.81,0.96
D,723,Canvot,4.5,4.5,Crystal Palace,79.65,159.30,79.65,79.65,3.25,6.40,3.61,3.32
D,724,Geertruida,4.5,4.5,Sunderland,12.75,12.75,12.75,12.75,0.58,0.49,0.53,0.50
D,725,Hincapie,5.1,5.1,Arsenal,35.70,54.90,54.90,54.90,1.84,2.65,3.42,3.10
F,726,Kolo Muani,6.9,6.9,Spurs,75.75,69.75,59.55,59.55,3.37,3.57,2.55,2.85
M,727,Chukwueze,5.3,5.3,Fulham,46.20,46.20,46.20,46.20,1.90,2.47,2.55,2.43
M,728,Röhl,5.0,5.0,Everton,12.45,12.45,12.45,12.45,0.55,0.54,0.56,0.54
F,730,Brobbey,5.3,5.3,Sunderland,79.35,79.35,79.35,79.35,3.95,3.39,3.13,3.33
M,731,Kevin,5.7,5.7,Fulham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,732,Uche,5.5,5.5,Crystal Palace,5.70,11.40,5.70,5.70,0.28,0.56,0.27,0.24
G,733,Lammens,5.1,5.1,Man Utd,89.10,89.10,89.10,89.10,2.92,3.55,3.70,3.22
M,734,Bakwa,5.9,5.9,Nott'm Forest,27.45,24.15,24.15,24.15,1.11,1.16,0.99,1.14
M,735,Traoré,5.5,5.5,Sunderland,13.95,13.95,13.95,13.95,0.72,0.64,0.61,0.64
G,736,Donnarumma,5.6,5.6,Man City,88.20,176.40,88.20,88.20,3.46,7.16,3.15,3.67
F,737,Kusi-Asare,4.5,4.5,Fulham,3.00,3.00,3.00,3.00,0.13,0.17,0.17,0.15
G,738,Fabianski,4.5,4.5,West Ham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,742,McAidoo,4.5,4.5,Man City,0.30,0.60,0.30,0.30,0.01,0.03,0.01,0.01
M,743,Emenalo,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,744,Oriola,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,745,Byfield,4.0,4.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,746,Morrison,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,747,Mayers,4.0,4.0,West Ham,1.50,1.50,1.50,1.50,0.05,0.05,0.05,0.06
M,748,Dasilva,4.9,4.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,749,Mané,4.3,4.3,Wolves,65.40,65.40,65.40,65.40,2.39,2.17,2.33,2.45
D,750,Rowswell,4.0,4.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,752,Golambeckis,4.0,4.0,West Ham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,753,Ruddy,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,754,George Hemmings,4.5,4.5,Aston Villa,1.50,1.50,1.50,1.50,0.07,0.07,0.07,0.06
M,755,Lacey,4.5,4.5,Man Utd,1.50,1.50,1.50,1.50,0.07,0.07,0.07,0.06
M,756,DaCosta,4.5,4.5,Bournemouth,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
G,757,Hollingshead,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,758,Mohamadou Kanté,4.5,4.5,West Ham,6.00,6.00,6.00,6.00,0.20,0.20,0.22,0.21
D,759,Salmon,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,760,Lucky,4.0,4.0,Liverpool,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
D,761,Simmonds,4.0,4.0,Brighton,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,762,Drakes-Thomas,4.5,4.5,Crystal Palace,1.20,2.40,1.20,1.20,0.06,0.11,0.05,0.05
M,763,Gray,4.5,4.5,Man City,0.30,0.60,0.30,0.30,0.01,0.02,0.01,0.01
M,764,Heskey,4.5,4.5,Man City,0.30,0.60,0.30,0.30,0.01,0.03,0.01,0.01
D,765,Shahar,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,766,Olagunju,4.0,4.0,Wolves,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,767,Rawlings,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,768,Leon Routh,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,769,Bendito Mantato,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,770,Ridgeon,4.5,4.5,Fulham,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,771,Fletcher,4.4,4.4,Man Utd,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,772,Alabi,4.5,4.5,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,773,Benamar,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,774,Jenson Jones,4.0,4.0,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,776,Pimlott,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,778,Sutherland,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,779,Graham,4.5,4.5,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,780,Casey,4.5,4.5,Crystal Palace,0.30,0.60,0.30,0.30,0.01,0.03,0.01,0.01
D,781,Carroll,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
G,782,Forster,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,783,Groß,5.5,5.5,Brighton,85.35,85.35,85.35,85.35,3.99,4.68,3.72,3.86
M,784,Brierley,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,785,Pablo,5.4,5.4,West Ham,67.80,67.80,67.80,67.80,2.59,2.42,2.54,2.70
G,786,McNally,4.0,4.0,Fulham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,787,Chambers,4.4,4.4,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,788,Kukonki,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,789,Merrick,4.0,4.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,790,Williams-Barnett,4.5,4.5,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,791,Taty,5.5,5.5,West Ham,76.20,76.20,76.20,76.20,3.34,3.04,3.29,3.50
M,792,Alysson,5.0,5.0,Aston Villa,9.75,9.75,9.75,9.75,0.48,0.51,0.48,0.39
D,793,King,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,794,Alleyne,3.9,3.9,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,795,Howell,4.5,4.5,Brighton,3.75,3.75,3.75,3.75,0.20,0.23,0.19,0.20
M,796,Gallagher,5.0,5.0,Spurs,74.85,74.85,74.85,74.85,3.00,3.25,2.78,3.19
F,797,Furo,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,799,Stevens,4.5,4.5,Bournemouth,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,800,Jocelin.T,4.9,4.9,Sunderland,13.80,13.80,13.80,13.80,0.67,0.59,0.57,0.58
M,801,Tóth.A,4.9,4.9,Bournemouth,8.40,8.40,8.40,8.40,0.41,0.36,0.37,0.36
M,802,Lamadrid,5.0,5.0,West Ham,1.50,1.50,1.50,1.50,0.07,0.07,0.07,0.08
G,803,Sharman-Lowe,4.0,4.0,Chelsea,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03
D,804,Souza,4.0,4.0,Spurs,10.05,1.50,1.50,1.50,0.34,0.05,0.05,0.05
F,805,Lucca,5.4,5.4,Nott'm Forest,18.00,18.00,18.00,18.00,0.80,1.00,0.81,0.93
G,806,Mandas,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.03,0.03,0.02,0.03
M,807,Rayan,5.4,5.4,Bournemouth,71.40,68.10,68.10,68.10,4.26,3.55,3.09,3.35
F,808,Abraham,5.8,5.8,Aston Villa,23.70,23.70,23.70,23.70,1.29,1.38,1.21,1.07
M,809,Abbey,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,810,Bentt,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,811,Kyerematen,4.5,4.5,Spurs,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
G,812,Ellborg,4.0,4.0,Sunderland,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03
M,813,Angulo,5.0,5.0,Sunderland,31.80,31.80,31.80,31.80,1.49,1.29,1.26,1.28
D,814,Netz,4.5,4.5,Nott'm Forest,9.45,9.45,9.45,9.45,0.32,0.34,0.32,0.34
D,815,Disasi,4.5,4.5,West Ham,82.95,82.95,82.95,82.95,2.65,2.34,2.56,3.20
M,816,Angel,4.6,4.6,Wolves,68.70,68.70,68.70,68.70,2.91,2.52,2.83,2.99
F,817,Armstrong,5.2,5.2,Wolves,78.45,78.45,78.45,78.45,3.63,3.17,3.52,3.75
F,818,Wilson,4.5,4.5,Spurs,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.04
D,819,Shield,4.0,4.0,Brentford,0.90,0.90,0.90,0.90,0.04,0.03,0.04,0.04
M,820,McMahon-Brown,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,821,Whittaker,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,822,Jones,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,823,Stephenson,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,824,McManus,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,825,Herrick,4.0,4.0,West Ham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,826,Owen,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,827,Thwaites,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,828,Brooks,4.0,4.0,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,829,Derry,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,830,Wright,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
