Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,Lanzini,6.4,6.4,West Ham,15,0.669,13,0.576
M,Felipe Anderson,6.1,6.1,West Ham,0,0,0,0
F,Haller,6.1,6.1,West Ham,0,0,0,0
D,Masuaku,4.3,4.3,West Ham,38,1.655,42,1.708
D,Balbuena,4.1,4.1,West Ham,1,0.041,0,0
F,Hugill,5.5,5.5,West Ham,0,0,0,0
M,Bowen,5.9,5.9,West Ham,55,3.483,55,3.438
M,Diangana,5.0,5.0,West Brom,8,0.317,7,0.279
F,Ajeti,5.5,5.5,West Ham,0,0,0,0
M,Rice,4.7,4.7,West Ham,60,2.357,82,3.162
M,Soucek,5.2,5.2,West Ham,83,3.262,82,3.183
M,Fornals,5.8,5.8,West Ham,59,2.667,56,2.508
D,Diop,4.3,4.3,West Ham,46,1.839,42,1.562
D,Johnson,3.9,3.9,West Ham,11,0.507,7,0.302
G,Ruddy,4.3,4.3,Wolves,1,0.038,2,0.073
M,Moutinho,5.1,5.1,Wolves,77,2.346,76,2.284
G,Patrício,5.3,5.3,Wolves,88,3.332,87,3.194
D,Bennett,4.4,4.4,Wolves,0,0,0,0
D,Doherty,5.6,5.6,Spurs,26,1.115,30,0.985
D,Boly,5.4,5.4,Wolves,58,1.682,58,1.519
D,Coady,4.9,4.9,Wolves,67,1.792,72,1.724
F,Jiménez,8.1,8.1,Wolves,0,0,38,1.882
D,Saïss,4.9,4.9,Wolves,61,1.81,60,1.608
D,Jonny,5.4,5.4,Wolves,0,0,0,0
F,Bonatini,4.8,4.8,Wolves,0,0,0,0
M,Dendoncker,4.6,4.6,Wolves,64,2.062,60,1.919
M,Traoré,6.0,6.0,Wolves,77,2.802,77,2.735
M,Neves,5.1,5.1,Wolves,65,2.379,64,2.291
D,Buur,3.9,3.9,Wolves,0,0,0,0
M,Jota,7.0,6.9,Liverpool,52,3.8,51,3.946
M,Podence,5.3,5.3,Wolves,60,2.47,58,2.335
D,Kilman,3.9,3.9,Wolves,2,0.057,4,0.103
D,Vinagre,4.1,4.1,Wolves,0,0,0,0
G,Sarkic,4.4,4.4,Wolves,0,0,0,0
M,Gibbs-White,4.9,4.9,Wolves,40,1.579,35,1.362
M,Neto,5.5,5.5,Wolves,0,0,0,0
M,Jordao,4.3,4.3,Wolves,0,0,0,0
F,Campana,4.7,4.7,Wolves,0,0,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0
M,Willian,7.5,7.5,Arsenal,40,2.164,37,1.965
D,Salisu,4.3,4.3,Southampton,45,1.37,37,0.929
M,Sean Longstaff,4.6,4.6,Newcastle,53,2.132,48,1.681
M,Pereira,5.4,5.4,West Brom,76,3.516,73,3.418
G,Hart,4.2,4.2,Spurs,0,0,1,0.039
G,Ramsdale,4.6,4.6,Sheffield Utd,89,3.342,87,3.423
D,Robinson,4.4,4.4,Fulham,76,1.519,75,2.857
M,Hendrick,4.5,4.5,Newcastle,11,0.452,13,0.47
D,Dann,4.2,4.2,Crystal Palace,33,0.932,32,0.511
M,Matty Longstaff,4.8,4.8,Newcastle,1,0.039,1,0.035
G,Gillespie,4.3,4.3,Newcastle,0,0,0,0
M,Eze,5.8,5.8,Crystal Palace,71,2.724,68,2.27
D,Thiago Silva,5.6,5.6,Chelsea,60,2.599,57,2.5
D,Koch,4.3,4.3,Leeds,31,1.02,32,1.466
F,Rodrigo,5.7,5.7,Leeds,35,1.78,37,2.143
M,Lemina,4.5,4.5,Fulham,49,1.39,44,1.492
D,Gabriel,4.9,4.9,Arsenal,59,2.477,51,2.137
M,van de Beek,6.6,6.6,Man Utd,10,0.508,9,0.422
D,Cash,5.0,5.0,Aston Villa,81,1.83,77,1.971
M,Murphy,4.9,4.9,Newcastle,81,3.072,78,2.558
D,Castagne,5.8,5.8,Leicester,63,1.943,66,2.456
D,Kipre,4.3,4.3,West Brom,0,0,0,0
M,Havertz,8.3,8.3,Chelsea,51,2.892,49,2.955
M,Ceballos,4.7,4.7,Arsenal,46,1.684,47,1.7
M,Allan,5.2,5.2,Everton,60,2.07,58,1.607
G,Walton,4.0,4.0,Brighton,0,0,0,0
F,Fabio Silva,5.2,5.2,Wolves,61,2.811,47,2.174
D,Marçal,4.7,4.7,Wolves,14,0.383,22,0.541
F,Wilson,6.5,6.5,Newcastle,0,0,0,0
M,Fraser,5.6,5.6,Newcastle,0,0,0,0
M,Rodríguez,7.7,7.7,Everton,39,2.227,41,1.62
D,Ampadu,4.3,4.3,Sheffield Utd,32,0.845,36,1.08
D,Bogle,4.3,4.3,Sheffield Utd,16,0.527,19,0.706
D,Lowe,4.2,4.2,Sheffield Utd,0,0,0,0
M,Doucouré,5.1,5.1,Everton,66,2.595,67,1.965
D,Lewis,4.1,4.1,Newcastle,4,0.16,2,0.06
F,Watkins,6.5,6.5,Aston Villa,79,3.527,80,3.367
M,Vitinha,4.7,4.7,Wolves,40,1.521,37,1.384
G,Areola,4.5,4.5,Fulham,88,3.142,89,3.755
D,Tete,4.3,4.3,Fulham,56,1.182,57,2.285
M,Mendy,4.2,4.2,Leicester,6,0.181,6,0.19
D,Dunne,3.8,3.8,Burnley,2,0.038,2,0.081
D,Thomas,3.9,3.9,Burnley,0,0,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0,0,0
G,Forster,4.0,4.0,Southampton,77,2.933,76,2.781
M,Tella,4.3,4.3,Southampton,24,1.201,23,0.992
D,Odoi,4.2,4.2,Fulham,0,0,0,0
M,Elneny,4.2,4.2,Arsenal,47,1.568,44,1.464
G,Macey,4.0,4.0,Arsenal,0,0,0,0
G,Steele,3.9,3.9,Brighton,0,0,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,1,0.027,1,0.031
D,Ivanovic,4.4,4.4,West Brom,0,0,0,0
M,Thiago,5.5,5.5,Liverpool,72,2.57,62,2.337
G,Caprile,4.0,4.0,Leeds,0,0,0,0
M,Bogusz,4.3,4.3,Leeds,0,0,0,0
D,Inniss,4.0,4.0,Crystal Palace,0,0,0,0
M,Benson,4.4,4.4,Burnley,1,0.034,1,0.039
D,Driscoll-Glennon,3.9,3.9,Burnley,1,0.019,2,0.081
M,Bernabé,4.5,4.5,Man City,0,0,0,0
G,Steffen,4.4,4.4,Man City,0,0,0,0
F,Delap,4.3,4.3,Man City,0,0,0,0
M,Traoré,5.8,5.8,Aston Villa,66,2.674,62,2.465
M,Ünder,5.7,5.7,Leicester,2,0.082,3,0.144
D,Reguilón,5.6,5.6,Spurs,79,3.43,72,2.336
M,Bale,9.2,9.2,Spurs,57,3.325,58,2.728
M,Gallagher,5.5,5.5,West Brom,64,2.073,64,2.062
D,Hoever,4.4,4.4,Wolves,7,0.192,7,0.175
D,Semedo,5.2,5.2,Wolves,71,2.02,71,1.816
G,Rúnarsson,4.4,4.4,Arsenal,0,0,0,0
G,Mendy,5.2,5.2,Chelsea,88,3.986,88,3.975
D,Llorente,4.4,4.4,Leeds,69,2.134,66,2.929
M,Molumby,4.5,4.5,Brighton,0,0,0,0
M,Goodridge,4.5,4.5,Burnley,0,0,0,0
M,Palmer,4.4,4.4,Man City,0,0,0,0
M,Shabani,4.4,4.4,Wolves,0,0,0,0
M,Ramsey,4.5,4.5,Aston Villa,25,0.909,25,0.898
M,Krovinovic,4.9,4.9,West Brom,0,0,0,0
D,Dias,6.0,6.0,Man City,60,2.743,63,2.951
M,Lookman,4.8,4.8,Fulham,77,2.92,76,4.044
D,Coufal,4.8,4.7,West Ham,72,3.319,72,3.083
D,Nkounkou,4.0,4.0,Everton,0,0,0,0
G,Kelleher,4.5,4.5,Liverpool,1,0.045,0,0
D,Fofana,5.0,5.0,Leicester,77,2.02,77,2.389
D,Aina,4.4,4.4,Fulham,56,1.179,57,2.276
D,Ait Nouri,5.0,5.0,Wolves,70,1.919,61,1.504
F,Carlos Vinicius,6.9,6.9,Spurs,7,0.387,8,0.374
M,Diallo,4.5,4.5,Southampton,57,1.724,57,1.607
D,Godfrey,5.0,5.0,Everton,79,3.285,79,1.385
M,Partey,4.9,4.9,Arsenal,32,1.095,21,0.722
D,Telles,5.3,5.3,Man Utd,7,0.382,10,0.487
F,Cavani,8.0,8.0,Man Utd,35,2.245,29,1.726
M,Raphinha,5.4,5.4,Leeds,80,4.087,77,4.749
D,Andersen,4.5,4.5,Fulham,85,1.656,82,3.109
D,Adarabioyo,4.5,4.5,Fulham,84,1.687,81,3.075
G,Olsen,4.5,4.5,Everton,2,0.089,1,0.035
F,Zeqiri,5.0,5.0,Brighton,12,0.488,2,0.089
M,Pellistri,5.2,5.2,Man Utd,0,0,0,0
D,Dawson,4.5,4.5,West Ham,63,2.681,62,2.458
D,Clyne,4.5,4.5,Crystal Palace,10,0.269,10,0.157
G,Henderson,4.0,4.0,Crystal Palace,0,0,0,0
F,Slimani,4.9,4.9,Leicester,0,0,0,0
G,Verrips,4.0,4.0,Sheffield Utd,0,0,0,0
M,Otasowie,4.5,4.5,Wolves,6,0.212,5,0.175
F,Grant,5.6,5.6,West Brom,3,0.145,4,0.196
G,Norris,4.0,4.0,Burnley,0,0,0,0
D,Rodon,5.0,5.0,Spurs,21,0.802,24,0.715
D,Kongolo,4.3,4.3,Fulham,0,0,0,0
G,Butland,4.5,4.5,Crystal Palace,0,0,0,0
M,Benrahma,5.9,5.9,West Ham,55,2.997,49,2.644
F,Welbeck,5.5,5.5,Brighton,73,2.864,64,2.848
D,Phillips,4.1,4.1,Liverpool,83,3.568,79,3.777
F,N'Lundulu,4.5,4.5,Southampton,0,0,0,0
F,Thompson,4.5,4.5,Burnley,0,0,0,0
F,Richardson,4.5,4.5,Burnley,0,0,0,0
G,Ziger,4.0,4.0,Chelsea,0,0,0,0
D,Rhys Williams,4.0,4.0,Liverpool,24,1.06,15,0.726
G,Trafford,4.0,4.0,Man City,0,0,0,0
F,Simms,4.5,4.5,Everton,0,0,0,0
G,Sánchez,4.6,4.6,Brighton,88,3.226,88,3.384
D,Ramsay,4.0,4.0,Southampton,1,0.031,1,0.026
M,Jenkins,4.5,4.5,Leeds,0,0,0,0
D,Peltier,3.9,3.9,West Brom,2,0.046,3,0.061
M,Clarkson,4.5,4.5,Liverpool,0,0,0,0
M,Anderson,4.5,4.5,Newcastle,0,0,0,0
D,Bryan,3.9,3.9,Sheffield Utd,44,1.19,45,1.382
G,Grant,4.0,4.0,Man Utd,0,0,0,0
M,Anjorin,4.5,4.5,Chelsea,0,0,0,0
G,Langley,3.9,3.9,Newcastle,0,0,0,0
M,Cain,4.5,4.5,Liverpool,0,0,0,0
G,Carson,3.9,3.9,Man City,0,0,0,0
M,Nmecha,4.5,4.5,Man City,0,0,0,0
M,Corbeanu,4.4,4.4,Wolves,1,0.038,1,0.038
M,Perry,4.4,4.4,Wolves,1,0.038,1,0.037
M,Mancini,4.4,4.4,Burnley,1,0.035,0,0
F,Mumbongo,4.5,4.5,Burnley,0,0,0,0
M,Cundle,4.5,4.5,Wolves,1,0.038,0,0
D,Richards,4.0,4.0,Wolves,0,0,0,0
D,Marques,3.9,3.9,Wolves,0,0,0,0
G,Söndergaard,4.0,4.0,Wolves,0,0,0,0
F,Hackford,4.4,4.4,Sheffield Utd,0,0,0,0
F,Huggins,4.5,4.5,Leeds,0,0,0,0
D,Cresswell,4.0,4.0,Leeds,1,0.031,1,0.043
F,Diaby,4.5,4.5,West Brom,0,0,0,0
D,Mbete,4.0,4.0,Man City,0,0,0,0
D,Harwood-Bellis,4.0,4.0,Man City,0,0,0,0
M,Chauke,4.4,4.4,Southampton,0,0,0,0
G,Lewis,4.0,4.0,Southampton,0,0,0,0
F,Cutrone,5.9,5.9,Wolves,0,0,0,0
M,Tau,4.9,4.9,Brighton,3,0.125,1,0.045
M,Moder,5.0,5.0,Brighton,55,1.767,43,1.509
D,Lonwijk,3.9,3.9,Wolves,0,0,0,0
M,Khadra,4.5,4.5,Brighton,1,0.036,0,0
M,Jenks,4.5,4.5,Brighton,1,0.036,0,0
M,Sanders,4.5,4.5,Brighton,0,0,0,0
M,Weir,4.5,4.5,Brighton,1,0.035,0,0
M,Ferry,4.5,4.5,Southampton,0,0,0,0
D,Tchaptchet,4.0,4.0,Southampton,2,0.062,1,0.026
M,Watts,4.5,4.5,Southampton,0,0,0,0
D,Alves,4.0,4.0,West Ham,0,0,0,0
F,Odubeko,4.5,4.5,West Ham,0,0,0,0
G,Lonergan,4.0,4.0,West Brom,0,0,0,0
M,Diallo,5.4,5.4,Man Utd,12,0.671,8,0.412
F,Mateta,5.4,5.4,Crystal Palace,5,0.266,4,0.184
F,Willian José,6.8,6.8,Wolves,44,1.883,33,1.415
M,Jankewitz,4.5,4.5,Southampton,1,0.041,0,0
M,Onyango,4.5,4.5,Everton,0,0,0,0
M,Ødegaard,5.7,5.7,Arsenal,52,2.505,49,2.323
D,Gordon,4.0,4.0,Sheffield Utd,0,0,0,0
M,Sanson,5.5,5.5,Aston Villa,15,0.55,26,0.93
F,Diagne,6.0,6.0,West Brom,69,3.02,66,2.971
D,Bueno,4.0,4.0,Wolves,0,0,0,0
M,Devine,4.4,4.4,Spurs,0,0,0,0
F,King,5.1,5.1,Everton,11,0.522,14,0.539
D,Kabak,5.0,5.0,Liverpool,52,2.304,67,3.286
D,Davies,4.7,4.7,Liverpool,0,0,0,0
M,Yokuslu,4.5,4.5,West Brom,79,2.228,78,2.203
M,Finnigan,4.5,4.5,Southampton,0,0,0,0
M,Ndiaye,4.5,4.5,Sheffield Utd,0,0,0,0
M,Brunt,4.5,4.5,Sheffield Utd,0,0,0,0
D,Nartey,4.0,4.0,Burnley,2,0.039,4,0.164
M,Gomes,4.5,4.5,Man City,0,0,0,0
D,Daley-Campbell,4.0,4.0,Leicester,0,0,0,0
M,Leshabela,4.4,4.4,Leicester,0,0,1,0.041
G,McGill,3.9,3.9,Brighton,0,0,0,0
D,Karbownik,4.5,4.5,Brighton,8,0.192,2,0.059
M,Caicedo,5.0,5.0,Brighton,1,0.036,0,0
F,Maja,5.1,5.1,Fulham,43,1.791,41,2.32
F,Scarlett,4.5,4.5,Spurs,0,0,0,0
F,Gelhardt,4.5,4.5,Leeds,0,0,0,0
