Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,Felipe Anderson,6.1,6.1,West Ham,0,0,0,0
F,Haller,6.1,6.1,West Ham,0,0,0,0
D,Masuaku,4.3,4.3,West Ham,8,0.341,35,1.42
D,Balbuena,4.1,4.1,West Ham,0,0,0,0
F,Hugill,5.5,5.5,West Ham,0,0,0,0
M,Bowen,5.9,5.9,West Ham,41,2.758,37,2.432
M,Diangana,5.0,5.0,West Brom,18,0.74,21,0.862
F,Ajeti,5.5,5.5,West Ham,0,0,0,0
M,Rice,4.7,4.7,West Ham,88,3.264,86,3.157
M,Soucek,5.2,5.2,West Ham,85,3.365,83,3.231
M,Fornals,5.8,5.8,West Ham,60,2.92,60,2.865
D,Diop,4.3,4.3,West Ham,26,1.001,24,0.879
D,Johnson,3.9,3.9,West Ham,12,0.568,9,0.401
G,Ruddy,4.3,4.3,Wolves,0,0,0,0
M,Moutinho,5.1,5.1,Wolves,80,2.468,76,2.307
G,Patrício,5.3,5.3,Wolves,88,3.346,87,3.159
D,Bennett,4.4,4.4,Wolves,0,0,0,0
D,Doherty,5.6,5.6,Spurs,32,1.443,22,0.761
D,Boly,5.4,5.4,Wolves,56,1.664,54,1.374
D,Coady,4.9,4.9,Wolves,78,2.108,76,1.744
F,Jiménez,8.1,8.1,Wolves,0,0,39,1.925
D,Saïss,4.9,4.9,Wolves,60,1.819,59,1.552
D,Jonny,5.4,5.4,Wolves,0,0,0,0
F,Bonatini,4.8,4.8,Wolves,0,0,0,0
M,Dendoncker,4.6,4.6,Wolves,65,2.217,64,2.126
M,Traoré,6.0,6.0,Wolves,83,2.975,81,2.827
M,Neves,5.1,5.1,Wolves,64,2.397,63,2.289
D,Buur,3.9,3.9,Wolves,0,0,0,0
M,Jota,7.0,6.9,Liverpool,0,0,0,0
M,Podence,5.3,5.3,Wolves,0,0,0,0
D,Kilman,3.9,3.9,Wolves,0,0,0,0
D,Vinagre,4.1,4.1,Wolves,0,0,0,0
G,Sarkic,4.4,4.4,Wolves,0,0,0,0
M,Gibbs-White,4.9,4.9,Wolves,46,1.872,47,1.859
M,Neto,5.5,5.5,Wolves,0,0,0,0
M,Jordao,4.3,4.3,Wolves,0,0,0,0
F,Campana,4.7,4.7,Wolves,0,0,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0
M,Willian,7.5,7.5,Arsenal,37,2.134,37,1.982
D,Salisu,4.3,4.3,Southampton,51,1.479,56,1.308
M,Sean Longstaff,4.6,4.6,Newcastle,40,1.704,42,1.528
M,Pereira,5.4,5.4,West Brom,79,3.61,78,3.584
G,Hart,4.2,4.2,Spurs,0,0,0,0
G,Ramsdale,4.6,4.6,Sheffield Utd,88,3.239,87,3.406
D,Robinson,4.4,4.4,Fulham,0,0,36,1.261
M,Hendrick,4.5,4.5,Newcastle,5,0.207,7,0.255
D,Dann,4.2,4.2,Crystal Palace,14,0.321,16,0.21
M,Matty Longstaff,4.8,4.8,Newcastle,0,0,0,0
G,Gillespie,4.3,4.3,Newcastle,0,0,0,0
M,Eze,5.8,5.8,Crystal Palace,79,2.774,74,2.357
D,Thiago Silva,5.6,5.6,Chelsea,59,2.597,59,2.577
D,Koch,4.3,4.3,Leeds,0,0,0,0
F,Rodrigo,5.7,5.7,Leeds,50,2.629,49,2.985
M,Lemina,4.5,4.5,Fulham,54,1.566,46,1.591
D,Gabriel,4.9,4.9,Arsenal,62,2.743,55,2.285
M,van de Beek,6.6,6.6,Man Utd,8,0.348,7,0.28
D,Cash,5.0,5.0,Aston Villa,0,0,0,0
M,Murphy,4.9,4.9,Newcastle,84,3.259,80,2.652
D,Castagne,5.8,5.8,Leicester,80,2.157,76,2.515
D,Kipre,4.3,4.3,West Brom,0,0,0,0
M,Havertz,8.3,8.3,Chelsea,68,4.36,74,4.966
M,Ceballos,4.7,4.7,Arsenal,50,2.112,48,1.944
M,Allan,5.2,5.2,Everton,67,2.294,66,1.801
G,Walton,4.0,4.0,Brighton,0,0,0,0
F,Fabio Silva,5.2,5.2,Wolves,70,3.043,60,2.605
D,Marçal,4.7,4.7,Wolves,37,1.075,37,0.928
F,Wilson,6.5,6.5,Newcastle,0,0,0,0
M,Fraser,5.6,5.6,Newcastle,0,0,0,0
M,Rodríguez,7.7,7.7,Everton,56,3.133,55,2.128
D,Ampadu,4.3,4.3,Sheffield Utd,0,0,0,0
D,Bogle,4.3,4.3,Sheffield Utd,12,0.374,17,0.645
D,Lowe,4.2,4.2,Sheffield Utd,0,0,0,0
M,Doucouré,5.1,5.1,Everton,72,2.706,69,1.975
D,Lewis,4.1,4.1,Newcastle,10,0.428,6,0.188
F,Watkins,6.4,6.4,Aston Villa,84,3.567,83,3.35
M,Vitinha,4.7,4.7,Wolves,53,1.967,48,1.745
G,Areola,4.5,4.5,Fulham,89,3.141,88,3.625
D,Tete,4.3,4.3,Fulham,69,1.313,66,2.493
M,Mendy,4.2,4.2,Leicester,4,0.12,5,0.155
D,Dunne,3.8,3.8,Burnley,0,0,1,0.039
D,Thomas,3.9,3.9,Burnley,0,0,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0,0,0
G,Forster,4.0,4.0,Southampton,45,1.699,45,1.634
M,Tella,4.3,4.3,Southampton,22,1.149,23,1.028
D,Odoi,4.2,4.2,Fulham,1,0.018,1,0.033
M,Elneny,4.2,4.2,Arsenal,51,1.757,41,1.394
G,Macey,4.0,4.0,Arsenal,0,0,0,0
G,Steele,3.9,3.9,Brighton,0,0,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,0,0,1,0.03
D,Ivanovic,4.4,4.4,West Brom,0,0,0,0
M,Thiago,5.5,5.5,Liverpool,76,2.843,72,2.81
G,Caprile,4.0,4.0,Leeds,0,0,0,0
M,Bogusz,4.3,4.3,Leeds,0,0,0,0
D,Inniss,4.0,4.0,Crystal Palace,0,0,0,0
M,Benson,4.4,4.4,Burnley,0,0,0,0
D,Driscoll-Glennon,3.9,3.9,Burnley,0,0,1,0.039
M,Bernabé,4.5,4.5,Man City,0,0,0,0
G,Steffen,4.4,4.4,Man City,0,0,0,0
F,Delap,4.2,4.2,Man City,0,0,0,0
M,Traoré,5.8,5.8,Aston Villa,63,2.475,62,2.375
M,Ünder,5.7,5.7,Leicester,2,0.081,3,0.141
D,Reguilón,5.6,5.6,Spurs,81,3.629,80,2.718
M,Bale,9.2,9.2,Spurs,66,4.035,66,3.214
M,Gallagher,5.5,5.5,West Brom,69,2.185,67,2.113
D,Hoever,4.4,4.4,Wolves,9,0.257,13,0.32
D,Semedo,5.2,5.2,Wolves,72,2.093,70,1.751
G,Rúnarsson,4.4,4.4,Arsenal,0,0,0,0
G,Mendy,5.2,5.2,Chelsea,88,4.072,87,3.988
D,Llorente,4.4,4.4,Leeds,78,2.333,76,3.283
M,Molumby,4.5,4.5,Brighton,0,0,0,0
M,Goodridge,4.5,4.5,Burnley,0,0,0,0
M,Palmer,4.4,4.4,Man City,0,0,0,0
M,Shabani,4.4,4.4,Wolves,0,0,0,0
M,Ramsey,4.5,4.5,Aston Villa,31,1.022,29,0.948
M,Krovinovic,4.9,4.9,West Brom,0,0,0,0
D,Dias,6.0,6.0,Man City,68,3.017,66,3.086
M,Lookman,4.8,4.8,Fulham,57,2.259,57,3.07
D,Coufal,4.8,4.7,West Ham,79,3.589,78,3.342
D,Nkounkou,4.0,4.0,Everton,0,0,0,0
G,Kelleher,4.5,4.5,Liverpool,0,0,0,0
D,Fofana,5.0,5.0,Leicester,84,2.045,80,2.365
D,Aina,4.4,4.4,Fulham,78,1.466,70,2.663
D,Ait Nouri,5.0,5.0,Wolves,51,1.465,49,1.211
F,Carlos Vinicius,6.9,6.9,Spurs,2,0.127,3,0.157
M,Diallo,4.5,4.5,Southampton,19,0.625,12,0.373
D,Godfrey,5.1,5.1,Everton,85,3.553,78,1.333
M,Partey,4.9,4.9,Arsenal,37,1.453,30,1.149
D,Telles,5.3,5.3,Man Utd,6,0.315,6,0.281
F,Cavani,8.0,8.0,Man Utd,62,3.937,58,3.263
M,Raphinha,5.5,5.5,Leeds,79,4.042,79,4.853
D,Andersen,4.5,4.5,Fulham,88,1.558,84,3.008
D,Adarabioyo,4.5,4.5,Fulham,88,1.584,84,3
G,Olsen,4.5,4.5,Everton,0,0,0,0
F,Zeqiri,5.0,5.0,Brighton,8,0.33,2,0.087
M,Pellistri,5.2,5.2,Man Utd,0,0,0,0
D,Dawson,4.5,4.5,West Ham,74,3.082,68,2.683
D,Clyne,4.5,4.5,Crystal Palace,1,0.022,10,0.126
G,Henderson,4.0,4.0,Crystal Palace,0,0,0,0
F,Slimani,4.9,4.9,Leicester,0,0,0,0
G,Verrips,4.0,4.0,Sheffield Utd,0,0,0,0
M,Otasowie,4.5,4.5,Wolves,2,0.066,9,0.291
F,Grant,5.6,5.6,West Brom,7,0.35,6,0.303
G,Norris,4.0,4.0,Burnley,0,0,0,0
D,Rodon,5.0,5.0,Spurs,11,0.435,17,0.53
D,Kongolo,4.3,4.3,Fulham,0,0,0,0
G,Butland,4.5,4.5,Crystal Palace,0,0,1,0.035
M,Benrahma,5.9,5.9,West Ham,53,3.05,50,2.817
F,Welbeck,5.5,5.5,Brighton,73,2.922,59,2.573
D,Phillips,4.1,4.1,Liverpool,81,3.684,80,4.097
F,N'Lundulu,4.5,4.5,Southampton,0,0,0,0
F,Thompson,4.5,4.5,Burnley,0,0,0,0
F,Richardson,4.5,4.5,Burnley,0,0,0,0
G,Ziger,4.0,4.0,Chelsea,0,0,0,0
D,Rhys Williams,4.0,4.0,Liverpool,72,3.246,68,3.445
G,Trafford,4.0,4.0,Man City,0,0,0,0
F,Simms,4.5,4.5,Everton,0,0,0,0
G,Sánchez,4.6,4.6,Brighton,88,3.204,87,3.244
D,Ramsay,4.0,4.0,Southampton,0,0,0,0
M,Jenkins,4.5,4.5,Leeds,1,0.043,1,0.049
D,Peltier,3.9,3.9,West Brom,0,0,1,0.02
M,Clarkson,4.5,4.5,Liverpool,0,0,0,0
M,Anderson,4.5,4.5,Newcastle,0,0,0,0
D,Bryan,3.9,3.9,Sheffield Utd,29,0.736,30,0.925
G,Grant,4.0,4.0,Man Utd,0,0,0,0
M,Anjorin,4.5,4.5,Chelsea,0,0,0,0
G,Langley,3.9,3.9,Newcastle,0,0,0,0
M,Cain,4.5,4.5,Liverpool,0,0,0,0
G,Carson,3.9,3.9,Man City,0,0,1,0.047
M,Nmecha,4.5,4.5,Man City,0,0,0,0
M,Corbeanu,4.4,4.4,Wolves,15,0.655,10,0.43
M,Perry,4.4,4.4,Wolves,1,0.038,1,0.037
M,Mancini,4.4,4.4,Burnley,1,0.034,0,0
F,Mumbongo,4.5,4.5,Burnley,0,0,0,0
M,Cundle,4.5,4.5,Wolves,1,0.038,1,0.037
D,Richards,4.0,4.0,Wolves,0,0,0,0
D,Marques,3.9,3.9,Wolves,0,0,0,0
G,Söndergaard,4.0,4.0,Wolves,0,0,1,0.036
F,Hackford,4.4,4.4,Sheffield Utd,2,0.095,2,0.103
F,Huggins,4.5,4.5,Leeds,0,0,0,0
D,Cresswell,4.0,4.0,Leeds,0,0,0,0
F,Diaby,4.5,4.5,West Brom,0,0,0,0
D,Mbete,4.0,4.0,Man City,0,0,0,0
D,Harwood-Bellis,4.0,4.0,Man City,0,0,0,0
M,Chauke,4.4,4.4,Southampton,0,0,0,0
G,Lewis,4.0,4.0,Southampton,0,0,0,0
F,Cutrone,5.9,5.9,Wolves,0,0,0,0
M,Tau,4.9,4.9,Brighton,4,0.151,1,0.039
M,Moder,5.0,5.0,Brighton,61,1.888,38,1.277
D,Lonwijk,3.9,3.9,Wolves,0,0,0,0
M,Khadra,4.5,4.5,Brighton,0,0,0,0
M,Jenks,4.5,4.5,Brighton,0,0,0,0
M,Sanders,4.5,4.5,Brighton,0,0,0,0
M,Weir,4.5,4.5,Brighton,0,0,0,0
M,Ferry,4.5,4.5,Southampton,0,0,0,0
D,Tchaptchet,4.0,4.0,Southampton,0,0,0,0
M,Watts,4.5,4.5,Southampton,0,0,0,0
D,Alves,4.0,4.0,West Ham,0,0,0,0
F,Odubeko,4.5,4.5,West Ham,0,0,0,0
G,Lonergan,4.0,4.0,West Brom,0,0,0,0
M,Diallo,5.4,5.4,Man Utd,8,0.436,5,0.246
F,Mateta,5.3,5.3,Crystal Palace,3,0.139,4,0.169
F,Willian José,6.8,6.8,Wolves,50,2.069,36,1.509
M,Jankewitz,4.5,4.5,Southampton,0,0,0,0
M,Onyango,4.5,4.5,Everton,0,0,0,0
M,Ødegaard,5.7,5.7,Arsenal,51,2.693,49,2.412
D,Gordon,4.0,4.0,Sheffield Utd,0,0,0,0
M,Sanson,5.5,5.5,Aston Villa,5,0.199,26,0.973
F,Diagne,6.0,6.0,West Brom,44,2.053,46,2.181
D,Bueno,4.0,4.0,Wolves,0,0,0,0
M,Devine,4.4,4.4,Spurs,0,0,0,0
F,King,5.1,5.1,Everton,4,0.23,11,0.477
D,Kabak,5.0,5.0,Liverpool,0,0,0,0
D,Davies,4.7,4.7,Liverpool,0,0,1,0.05
M,Yokuslu,4.5,4.5,West Brom,77,2.155,74,2.08
M,Finnigan,4.5,4.5,Southampton,0,0,0,0
M,Ndiaye,4.5,4.5,Sheffield Utd,2,0.067,3,0.105
M,Brunt,4.5,4.5,Sheffield Utd,3,0.104,2,0.072
D,Nartey,4.0,4.0,Burnley,0,0,2,0.08
M,Gomes,4.5,4.5,Man City,0,0,0,0
D,Daley-Campbell,4.0,4.0,Leicester,0,0,0,0
M,Leshabela,4.4,4.4,Leicester,0,0,0,0
G,McGill,3.9,3.9,Brighton,0,0,0,0
D,Karbownik,4.5,4.5,Brighton,12,0.28,2,0.056
M,Caicedo,5.0,5.0,Brighton,0,0,0,0
F,Maja,5.1,5.1,Fulham,37,1.563,37,2.083
F,Scarlett,4.5,4.5,Spurs,0,0,0,0
F,Gelhardt,4.5,4.5,Leeds,0,0,0,0
